82,2.48,25,-999,-999,25,25,2.21,1.3,2017-09-10 13:40
83,2.24,25,-999,-999,25,25,1.74,1.03,2017-09-10 13:50
84,2,25,-999,-999,25,25,1.66,0.97,2017-09-10 14:00
85,2.02,25,-999,-999,25,25,1.58,0.92,2017-09-10 14:10
86,1.9,25,-999,-999,25,25,1.67,0.92,2017-09-10 14:20
87,1.61,25,-999,-999,25,25,1.67,0.88,2017-09-10 14:30
88,1.66,25,-999,-999,25,25,1.6,0.81,2017-09-10 14:40
89,1.53,25,-999,-999,25,25,1.46,0.72,2017-09-10 14:50
90,1.4,25,-999,-999,25,25,1.3,0.62,2017-09-10 15:00
91,1.28,25,-999,-999,25,25,1.34,0.59,2017-09-10 15:10
92,1.37,25,-999,-999,25,25,1.23,0.51,2017-09-10 15:20
93,1.25,25,-999,-999,25,25,1,0.41,2017-09-10 15:30
94,1.1,25,-999,-999,25,25,1.06,0.38,2017-09-10 15:40
95,0.84,25,-999,-999,25,25.1,0.94,0.32,2017-09-10 15:50
96,0.9,25,-999,-999,25,25,0.77,0.25,2017-09-10 16:00
97,0.72,25,-999,-999,25,25,0.69,0.2,2017-09-10 16:10
98,0.54,25,-999,-999,25,25,0.61,0.16,2017-09-10 16:20
99,0.45,25,-999,-999,25,25,0.5,0.12,2017-09-10 16:30
100,0.4,25,-999,-999,25,25,0.42,0.09,2017-09-10 16:40
101,0.36,25,-999,-999,25,25,0.35,0.07,2017-09-10 16:50
102,0.28,25,-999,-999,25,25,0.26,0.05,2017-09-10 17:00
103,0.21,25,-999,-999,25,25,0.19,0.03,2017-09-10 17:10
104,0.15,25,-999,-999,25,25,0.12,0.02,2017-09-10 17:20
105,0.09,25,-999,-999,25,25,0.07,0.01,2017-09-10 17:30
106,0.04,25,-999,-999,25,25,0.03,0,2017-09-10 17:40
107,0.01,25,-999,-999,25,25,0.01,0,2017-09-10 17:50
108,0,25,-999,-999,25,25,0,0,2017-09-10 18:00
109,0,25,-999,-999,25,25,0,0,2017-09-10 18:10
110,0,25,-999,-999,25,25,0,0,2017-09-10 18:20
111,0,25,-999,-999,25,25,0,0,2017-09-10 18:30
112,0,25,-999,-999,25,25,0,0,2017-09-10 18:40
113,0,25,-999,-999,25,25,0,0,2017-09-10 18:50
114,0,25,-999,-999,25,25,0,0,2017-09-10 19:00
115,0,25,-999,-999,25,25,0,0,2017-09-10 19:10
116,0,25,-999,-999,25,25,0,0,2017-09-10 19:20
117,0,25,-999,-999,25,25,0,0,2017-09-10 19:30
118,0,25,-999,-999,25,25,0,0,2017-09-10 19:40
119,0,25,-999,-999,25,25,0,0,2017-09-10 19:50
120,0,25,-999,-999,25,25,0,0,2017-09-10 20:00
121,0,25,-999,-999,25,25,0,0,2017-09-10 20:10
122,0,25,-999,-999,25,25,0,0,2017-09-10 20:20
123,0,25,-999,-999,25,25,0,0,2017-09-10 20:30
124,0,25,-999,-999,25,25,0,0,2017-09-10 20:40
125,0,25,-999,-999,25,25,0,0,2017-09-10 20:50
126,0,25,-999,-999,25,25,0,0,2017-09-10 21:00
127,0,25,-999,-999,25,25,0,0,2017-09-10 21:10
128,0,25,-999,-999,25,25,0,0,2017-09-10 21:20
129,0,25,-999,-999,25,25,0,0,2017-09-10 21:30
130,0,25,-999,-999,25,25,0,0,2017-09-10 21:40
131,0,25,-999,-999,25,25,0,0,2017-09-10 21:50
132,0,25,-999,-999,25,25,0,0,2017-09-10 22:00
133,0,25,-999,-999,25,25,0,0,2017-09-10 22:10
134,0,25,-999,-999,25,25,0,0,2017-09-10 22:20
135,0,25,-999,-999,25,25,0,0,2017-09-10 22:30
136,0,25,-999,-999,25,25,0,0,2017-09-10 22:40
137,0,25,-999,-999,25,25,0,0,2017-09-10 22:50
138,0,25,-999,-999,25,25,0,0,2017-09-10 23:00
139,0,25,-999,-999,25,25,0,0,2017-09-10 23:10
140,0,25,-999,-999,25,25,0,0,2017-09-10 23:20
141,0,25,-999,-999,25,25,0,0,2017-09-10 23:30
142,0,25,-999,-999,25,25,0,0,2017-09-10 23:40
143,0,25,-999,-999,25,25,0,0,2017-09-10 23:50
144,0,25,-999,-999,25,25,0,0,2017-10-10 00:00
